Name,Titulares,NUMERODECLARACIONES,NUMEROHABITANTES,POSICIONAMIENTORENTA BRUTA MEDIANIVELNACIONAL,POSICIONAMIENTORENTA BRUTA MEDIANIVELAUTONÓMICO,RENTA BRUTA MEDIA,RENTA BRUTA MEDIANA,RENTA DISPONIBLEMEDIA,RENTA DISPONIBLEMEDIANA
Huelva-21041,87.868,77.833,143.290,997,51,27.366,22.548,22.392,19.457
Valverde del Camino-21072,7.040,6.181,12.611,1.204,66,26.148,21.652,21.467,18.692
Punta Umbría-21060,8.709,7.698,16.137,1.311,77,25.615,19.538,21.065,17.362
Minas de Riotinto-21049,2.182,1.882,3.713,1.384,84,25.217,23.216,20.994,20.068
"Campillo, El-21018",1.174,1.027,2.014,1.526,99,24.412,20.178,20.316,17.873
Calañas-21017,1.493,1.272,2.759,1.575,105,24.155,21.641,20.016,18.507
Aracena-21007,4.706,4.175,8.392,1.606,108,23.996,18.574,20.002,16.752
Encinasola-21031,713,616,1.260,1.635,112,23.882,15.951,20.126,14.703
Almonaster la Real-21004,859,748,1.751,1.645,114,23.853,19.938,19.588,17.265
Nerva-21052,2.880,2.448,5.073,1.734,126,23.457,20.831,19.846,18.210
Zalamea la Real-21078,1.727,1.483,2.963,1.850,138,22.922,19.507,19.330,17.528
"Zarza-Perrunal, La-21902",593,494,1.189,1.864,140,22.841,20.465,19.212,17.883
Ayamonte-21010,11.382,10.342,21.622,1.870,142,22.824,17.222,19.209,15.846
"Palma del Condado, La-21054",6.057,5.342,10.709,1.932,154,22.555,18.027,18.981,16.396
Jabugo-21043,1.206,1.066,2.196,1.968,162,22.402,20.096,18.981,17.322
Palos de la Frontera-21055,9.969,9.413,12.663,2.004,167,22.199,14.511,18.471,13.693
Trigueros-21070,4.732,4.208,8.110,2.021,168,22.093,18.255,18.722,16.583
Cortegana-21025,2.433,2.104,4.618,2.028,170,22.063,17.627,18.634,16.082
Cartaya-21021,12.125,11.180,21.408,2.033,171,22.029,16.220,18.580,15.054
Hinojos-21040,2.181,2.007,4.056,2.048,175,21.944,17.040,18.570,15.614
San Juan del Puerto-21064,5.355,4.760,9.811,2.062,179,21.884,18.079,18.611,16.391
Beas-21011,2.482,2.232,4.374,2.120,191,21.667,17.235,18.372,15.953
Higuera de la Sierra-21038,694,603,1.307,2.126,196,21.650,17.443,18.477,15.881
Gibraleón-21035,7.000,6.156,13.144,2.168,205,21.441,17.633,18.223,16.125
