municipio,poblacion_total,hombres,mujeres,densidad,superficie_km2,poblacion_menor_35,poblacion_menor_65,poblacion_65_mas,renta_bruta_media,alquiler_m2_colectiva,alquiler_m2_unifamiliar,num_bancos
Culleredo,30758.0,14820.0,15938.0,494.9098380391257,62.14869383454929,10437.0,25202.0,5019.0,30.685,4.1723264095,1.2417375895,2.0
Daimiel,17771.0,8913.0,8858.0,40.5673423343231,438.0617259456103,6843.0,14522.0,3529.0,24.047,2.8193142816666668,0.33450698416666663,6.0
Daimús,3277.0,1623.0,1654.0,1043.494050990519,3.140410812011207,1094.0,2564.0,564.0,28.553,5.121930450000001,5.39324797,1.0
Dénia,42953.0,20826.0,22127.0,647.4314824058979,66.3436999393107,14720.0,34145.0,7588.0,28.14,5.7804337825,2.7166519179166664,1.0
Dos Hermanas,136250.0,66833.0,69417.0,852.6488536881908,159.79614516649067,55621.0,116270.0,16898.0,29.173,4.917279009523809,1.9009842958333334,13.0
Dos Torres,2399.0,1191.0,1208.0,18.588926703442628,129.05532623116486,900.0,1911.0,505.0,23.447,0.0,0.0,1.0
Duruelo de la Sierra,1066.0,553.0,513.0,23.773775686348586,44.839322708513656,286.0,751.0,360.0,21.77,0.0,0.0,1.0
Écija,39838.0,19621.0,20217.0,40.71441500240199,978.474085840352,16413.0,33684.0,6198.0,22.745,2.816724999,0.3619085593333333,12.0
Eivissa,50643.0,25538.0,25105.0,4528.822976204447,11.18237570028478,20297.0,43708.0,6019.0,36.346,11.293578767142858,3.8992311175000003,1.0
El Astillero,18116.0,8824.0,9292.0,2763.5434578486675,6.5553519516942,6297.0,15092.0,3016.0,28.092,6.03590659923077,0.78937175,2.0
El Ejido,84005.0,43349.0,40656.0,371.4824089783823,226.13453011415277,39159.0,76873.0,7837.0,20.941,3.39146368122449,0.763372763877551,2.0
El Escorial,16594.0,8155.0,8439.0,241.01200152850805,68.85134306491032,5758.0,13176.0,2666.0,38.524,6.8973571088888885,5.256955976666666,2.0
El Masnou,23848.0,11505.0,12343.0,7086.898727512829,3.3650826570185144,8219.0,18933.0,4407.0,41.913,9.60021834142857,7.987119657857143,2.0
